# V4.0 immutable durable format 1.0 fixtures; case<TAB>file<TAB>sha256<TAB>base64
fresh	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-
wal-only	gse.lock	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
wal-only	gse-metadata	f09d78476b27a2ebf7eb994a658fb61598ebe9578ad8a399f77e97bcad906925	R1NFTUVUQTEAAQAAAQIDBAUGBwgREhMUFRYXGAAAAAtnc2UtZHVyYWJsZQAAABV2NDAtY29uc3VtZXItc3RvcmUtdjEAAAAWdjQwLWNvbnN1bWVyLXNjaGVtYS12MQAAABV2NDAtY29uc3VtZXItY29kZWMtdjEAAAABAAAAQAAAEAAAAAPoAAAnEAAAAAAAEAAAAAAAAAQAAAAAAAAAckBmGA==
wal-only	gse-wal-00000000000000000001.log	27d855a4bb434e3751671531f0217565e681a1874907adb8746d06abcafb1054	R1NFV0FMMTAAAQAAAQIDBAUGBwgREhMUFRYXGAAAAAAAAAABAAAAAAAAAAEGU2HoR1NFRgABAAAAAAA6AAAAAAAAAAEBAAAAAAAAGgEAAAAEAAAABwAAAA0AAAAHAAAABWFscGhhfbXS0g==
checkpoint-only	gse.lock	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
checkpoint-only	gse-metadata	f09d78476b27a2ebf7eb994a658fb61598ebe9578ad8a399f77e97bcad906925	R1NFTUVUQTEAAQAAAQIDBAUGBwgREhMUFRYXGAAAAAtnc2UtZHVyYWJsZQAAABV2NDAtY29uc3VtZXItc3RvcmUtdjEAAAAWdjQwLWNvbnN1bWVyLXNjaGVtYS12MQAAABV2NDAtY29uc3VtZXItY29kZWMtdjEAAAABAAAAQAAAEAAAAAPoAAAnEAAAAAAAEAAAAAAAAAQAAAAAAAAAckBmGA==
checkpoint-only	gse-checkpoint-00000000000000000001-0123456789abcdef0123456789abcdef.chk	ad581da1e7b39de78766af9f38736dae91b32cdea843b8944faf889476d08ca1	R1NFQ0hLMTAAAQAAAQIDBAUGBwgREhMUFRYXGAAAAAAAAAABAAAAAQAAAAEAAAAAAAAAAQEAAAAEAAAABwAAAA0AAAAHAAAABWFscGhhkhb5Xg==
checkpoint-only	gse-checkpoint-manifest	177a75009f899e7e0d0bb0df31903c291e61a4eea4ca19b309a08f98824c1302	R1NFTUFOMTAAAQAAAQIDBAUGBwgREhMUFRYXGAAAAAAAAAABAAAAAAAAAFKSFvleAAAASGdzZS1jaGVja3BvaW50LTAwMDAwMDAwMDAwMDAwMDAwMDAxLTAxMjM0NTY3ODlhYmNkZWYwMTIzNDU2Nzg5YWJjZGVmLmNoawAAAAAAAAACAAAAAAAAAAKVbKZh
checkpoint-only	gse-wal-00000000000000000002.log	ecd9da411d6f7145ac9774f1383244fddae6f9369e32b7c7fa14807f630641b0	R1NFV0FMMTAAAQAAAQIDBAUGBwgREhMUFRYXGAAAAAAAAAACAAAAAAAAAAIMrJ41
checkpoint-wal	gse.lock	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
checkpoint-wal	gse-metadata	f09d78476b27a2ebf7eb994a658fb61598ebe9578ad8a399f77e97bcad906925	R1NFTUVUQTEAAQAAAQIDBAUGBwgREhMUFRYXGAAAAAtnc2UtZHVyYWJsZQAAABV2NDAtY29uc3VtZXItc3RvcmUtdjEAAAAWdjQwLWNvbnN1bWVyLXNjaGVtYS12MQAAABV2NDAtY29uc3VtZXItY29kZWMtdjEAAAABAAAAQAAAEAAAAAPoAAAnEAAAAAAAEAAAAAAAAAQAAAAAAAAAckBmGA==
checkpoint-wal	gse-checkpoint-00000000000000000001-0123456789abcdef0123456789abcdef.chk	ad581da1e7b39de78766af9f38736dae91b32cdea843b8944faf889476d08ca1	R1NFQ0hLMTAAAQAAAQIDBAUGBwgREhMUFRYXGAAAAAAAAAABAAAAAQAAAAEAAAAAAAAAAQEAAAAEAAAABwAAAA0AAAAHAAAABWFscGhhkhb5Xg==
checkpoint-wal	gse-checkpoint-manifest	177a75009f899e7e0d0bb0df31903c291e61a4eea4ca19b309a08f98824c1302	R1NFTUFOMTAAAQAAAQIDBAUGBwgREhMUFRYXGAAAAAAAAAABAAAAAAAAAFKSFvleAAAASGdzZS1jaGVja3BvaW50LTAwMDAwMDAwMDAwMDAwMDAwMDAxLTAxMjM0NTY3ODlhYmNkZWYwMTIzNDU2Nzg5YWJjZGVmLmNoawAAAAAAAAACAAAAAAAAAAKVbKZh
checkpoint-wal	gse-wal-00000000000000000002.log	c5cafa9d6141af39fe9f5a9e0d68965e0863b13aee7e1bf556017f0788da4d00	R1NFV0FMMTAAAQAAAQIDBAUGBwgREhMUFRYXGAAAAAAAAAACAAAAAAAAAAIMrJ41R1NFRgABAAAAAAA5AAAAAAAAAAIBAAAAAAAAGQEAAAAEAAAACAAAAAwAAAAIAAAABGJldGF35d+d
incomplete-tail	gse.lock	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
incomplete-tail	gse-metadata	f09d78476b27a2ebf7eb994a658fb61598ebe9578ad8a399f77e97bcad906925	R1NFTUVUQTEAAQAAAQIDBAUGBwgREhMUFRYXGAAAAAtnc2UtZHVyYWJsZQAAABV2NDAtY29uc3VtZXItc3RvcmUtdjEAAAAWdjQwLWNvbnN1bWVyLXNjaGVtYS12MQAAABV2NDAtY29uc3VtZXItY29kZWMtdjEAAAABAAAAQAAAEAAAAAPoAAAnEAAAAAAAEAAAAAAAAAQAAAAAAAAAckBmGA==
